id,id_usuario,id_setor,principal
2002,198,45,0
2003,198,30,0
2004,198,53,0
2005,198,69,0
2009,91,45,1
2010,278,45,1
2033,155,38,1
2036,37,56,0
2037,80,56,0
2038,105,56,0
2041,132,56,0
2044,104,25,1
2047,89,20,1
2050,265,54,0
2051,255,54,0
2080,287,36,1
2081,286,31,1
2082,279,29,1
2083,283,29,1
2084,284,29,1
2085,228,16,1
2086,41,9,1
2088,288,29,1
2092,90,28,1
2125,54,56,0
2140,289,19,1
2173,290,20,1
2178,292,14,1
2181,294,23,1
2183,295,38,1
2186,69,23,1
2187,296,23,1
2188,75,20,1
2191,173,23,1
2192,291,36,1
2193,285,36,1
2195,297,36,1
2197,298,56,1
2198,204,53,0
2199,204,69,0
2206,299,45,1
2207,258,40,1
2208,145,46,0
2211,56,46,0
2212,99,42,1
2215,277,31,1
2241,197,52,0
2242,298,52,0
2243,74,52,0
2244,284,52,0
2245,246,52,0
2246,95,52,0
2247,38,52,0
2249,246,72,0
2250,101,72,0
2251,67,72,0
2254,194,53,0
2256,125,42,1
2257,187,42,1
2258,126,42,1
2259,183,42,1
2260,293,42,1
2261,223,42,1
2262,231,42,1
2263,266,42,1
2264,243,42,1
2265,48,69,1
2266,301,38,1
2267,300,41,1
2268,302,22,1
2269,147,36,1
2270,120,56,0
2273,303,44,1
2275,112,50,0
2276,80,50,0
2277,152,50,0
2278,117,50,0
2280,152,66,0
2282,228,71,0
2283,80,71,0
2284,109,71,0
2285,43,71,0
2286,103,71,0
2287,102,71,0
2288,67,71,0
2291,43,3,0
2292,77,3,0
2293,304,42,1
2294,298,57,0
2295,278,57,0
2297,95,57,0
2298,139,57,0
2300,305,12,1
2301,305,53,0
2302,79,55,0
2303,79,53,0
2304,124,13,1
2305,124,53,0
2308,86,25,0
2309,252,25,0
2310,252,46,0
2311,280,25,0
2312,280,69,0
2313,261,25,0
2314,63,47,0
2315,63,53,0
2316,166,53,0
2317,121,57,0
2318,288,53,0
2319,104,46,0
2320,104,53,0
2321,245,53,0
2322,245,69,0
2323,222,53,0
2324,81,21,1
2325,81,53,0
2326,60,55,0
